Transaction ID,Transaction,,,,,,
Trans1,"Desk Top,Printer,Flash Drive,Microsoft Office,Speakers, Anti-Virus",,,,,,
Trans2,"lap top,Flash Drive,Microsoft Office,lap top Case",,,,,,
Trans3,"lap top,Printer,Flash Drive,Microsoft Office,Anti-Virus,lap top Case,External Hard-Drive",,,,,,
Trans4,"lap top,Printer,Flash Drive,Anti-Virus,External Hard-Drive,lap top Case",,,,,,
Trans5,"lap top,Flash Drive, lap top Case,Anti-Virus",,,,,,
Trans6,"lap top,Printer,Flash Drive,Microsoft Office,Anti-Virus",,,,,,
Trans7,"Desk Top,Printer,Flash Drive,Microsoft Office",,,,,,
Trans8,"lap top, External Hard-Drive,Anti-Virus",,,,,,
Trans9,"Desk Top,Printer,Flash Drive,Microsoft Office,lap top Case,Anti-Virus,Speakers,External Hard-Drive", ,,,,,  
Trans10,"Digital Camera,lap top, Desk Top,Printer,Flash Drive,lap top Case,Anti-Virus,External Hard-Drive,Speakers",,,,,,
Trans11,"lap top,Desk Top,lap top Case,External Hard-Drive,Speakers,Anti-Virus",,,,,,
Trans12,"Digital Camera,lap top,lap top Case,External Hard-Drive,Anti-Virus,Speakers",,,,,,
Trans13,"Digital Camera,Speakers",,,,,,
Trans14,"Digital Camera,Desk Top,Printer,Flash Drive,Microsoft Office",, ,,,,
Trans15,"Printer,Flash Drive,Microsoft Office,Anti-Virus,lap top Case,Speakers,External Hard-Drive",,,,,,
Trans16,"Digital Camera,Flash Drive,Microsoft Office,Anti-Virus,lap top Case,External Hard-Drive,Speakers",,,,,,
Trans17,"Digital Camera,lap top,lap top Case,Anti-Virus",,,,,,
Trans18,"Digital Camera,lap top Case,Speakers",,,,,,
Trans19,"Digital Camera,lap top,Printer,Flash Drive,Microsoft Office,Speakers,lap top Case,Anti-Virus",,,,,,
Trans20,"Digital Camera,lap top,Speakers,Anti-Virus",,,,,,
